Year,State,CD #,Total Congressional Votes,Congressional D Votes,Congressional R Votes
2022,TN,5,221275,93648,123558
2022,TN,6,195063,65675,129388
2022,TN,7,180822,68973,108421
2022,TN,8,210315,51102,155602
2022,TN,9,133918,93800,35123
2022,TX,1,234662,51438,183224
2022,TX,10,251937,86404,159469
2022,TX,11,151066,0,151066
2022,TX,12,237979,85026,152953
2022,TX,13,214677,52910,161767
2022,TX,14,213149,63606,149543
2022,TX,15,151889,68097,80978
2022,TX,16,150496,95510,54986
2022,TX,17,217209,72801,144408
2022,TX,18,156268,110511,40941
2022,TX,19,189681,0,152321
2022,TX,2,230287,78496,151791
2022,TX,20,168599,115352,53226
2022,TX,21,330081,122655,207426
2022,TX,22,241215,85653,150014
2022,TX,23,208776,80947,116649
2022,TX,24,297825,119878,177947
2022,TX,25,185270,0,185270
2022,TX,26,265023,0,183639
2022,TX,27,207027,73611,133416
2022,TX,28,165581,93803,71778
2022,TX,29,100602,71837,28765
2022,TX,3,271256,100121,164240
2022,TX,30,180513,134876,39209
2022,TX,31,183185,0,183185
2022,TX,32,177499,116005,61494
2022,TX,33,114030,82081,29203
2022,TX,34,134439,70896,59464
2022,TX,35,178568,129599,48969
2022,TX,36,209615,64016,145599
2022,TX,37,285789,219358,59923
2022,TX,38,259869,92302,163597
2022,TX,4,256009,79179,170781
2022,TX,5,211965,71930,135595
2022,TX,6,149321,0,149321
2022,TX,7,181829,115994,65835
2022,TX,8,224968,68715,153127
2022,TX,9,163607,125446,38161
2022,UT,1,266420,87986,178434
2022,UT,2,259399,88224,154883
2022,UT,3,283380,83687,182497
2022,UT,4,254059,82181,155110
2022,VA,1,342742,147229,191828
2022,VA,10,296145,157405,138163
2022,VA,11,289676,193190,95634
2022,VA,2,296996,143219,153328
2022,VA,3,207850,139659,67668
2022,VA,4,244978,159044,85503
2022,VA,5,307790,129996,177191
2022,VA,6,269234,95410,173352
2022,VA,7,274590,143357,130586
2022,VA,8,268936,197760,66589
2022,VA,9,248792,66027,182207
2022,VT,AL,291955,176494,78397
2022,WA,1,286684,181992,104329
2022,WA,10,267748,152544,114777
2022,WA,2,337923,202980,134335
