State,CD #,Year,Reock,Rating,Polsby-Popper,Rating,KIWYSI Score
MA,1,2022,0.28,12.00,0.26,41.00,44.00
MA,2,2022,0.26,4.00,0.20,26.00,32.00
MA,3,2022,0.22,0.00,0.21,27.00,31.00
MA,4,2022,0.42,68.00,0.18,19.00,26.00
MA,5,2022,0.25,0.00,0.18,19.00,25.00
MA,6,2022,0.45,80.00,0.38,69.00,67.00
MA,7,2022,0.27,8.00,0.09,0.00,3.00
MA,8,2022,0.33,31.00,0.13,8.00,19.00
MA,9,2022,0.56,100.00,0.26,39.00,52.00
MD,1,2022,0.36,45.00,0.36,66.00,51.00
MD,2,2022,0.25,0.00,0.19,21.00,32.00
MD,3,2022,0.26,3.00,0.27,41.00,45.00
MD,4,2022,0.35,42.00,0.23,33.00,36.00
MD,5,2022,0.40,61.00,0.34,61.00,55.00
MD,6,2022,0.15,0.00,0.11,3.00,5.00
MD,7,2022,0.24,0.00,0.28,44.00,41.00
MD,8,2022,0.59,100.00,0.31,53.00,61.00
ME,1,2022,0.28,13.00,0.16,15.00,19.00
ME,2,2022,0.53,100.00,0.29,49.00,58.00
MI,1,2022,0.30,21.00,0.36,65.00,68.00
MI,2,2022,0.49,97.00,0.40,74.00,67.00
MI,3,2022,0.24,0.00,0.27,43.00,49.00
MI,4,2022,0.33,32.00,0.37,67.00,64.00
MI,5,2022,0.14,0.00,0.22,31.00,45.00
MI,6,2022,0.32,29.00,0.37,68.00,58.00
MI,7,2022,0.43,72.00,0.51,100.00,93.00
MI,8,2022,0.49,97.00,0.45,89.00,68.00
MI,9,2022,0.57,100.00,0.55,100.00,88.00
MI,10,2022,0.39,55.00,0.45,87.00,69.00
MI,11,2022,0.42,66.00,0.41,78.00,72.00
MI,12,2022,0.60,100.00,0.49,97.00,84.00
MI,13,2022,0.17,0.00,0.25,39.00,33.00
MN,1,2022,0.17,0.00,0.24,36.00,47.00
MN,2,2022,0.35,38.00,0.35,62.00,65.00
MN,3,2022,0.52,100.00,0.29,47.00,51.00
MN,4,2022,0.45,80.00,0.52,100.00,93.00
MN,5,2022,0.60,100.00,0.45,88.00,79.00
MN,6,2022,0.41,63.00,0.22,30.00,32.00
MN,7,2022,0.38,53.00,0.17,18.00,34.00
MN,8,2022,0.33,31.00,0.25,39.00,40.00
MO,1,2022,0.57,100.00,0.31,53.00,57.00
MO,2,2022,0.41,65.00,0.29,48.00,55.00
MO,3,2022,0.30,20.00,0.15,13.00,24.00
MO,4,2022,0.51,100.00,0.30,49.00,59.00
MO,5,2022,0.42,68.00,0.40,74.00,69.00
MO,6,2022,0.25,0.00,0.28,44.00,54.00
MO,7,2022,0.45,81.00,0.50,99.00,94.00
MO,8,2022,0.43,70.00,0.26,40.00,46.00
MO,1,2026,0.57,100.00,0.46,91.00,73.00
MO,2,2026,0.54,100.00,0.40,76.00,69.00
MO,3,2026,0.36,43.00,0.35,62.00,63.00
MO,4,2026,0.39,57.00,0.33,58.00,58.00
MO,5,2026,0.29,17.00,0.20,25.00,34.00
MO,6,2026,0.28,13.00,0.32,55.00,67.00
MO,7,2026,0.45,81.00,0.50,99.00,94.00
MO,8,2026,0.43,70.00,0.26,40.00,46.00
MS,1,2022,0.47,87.00,0.38,70.00,67.00
MS,2,2022,0.35,38.00,0.13,7.00,31.00
MS,3,2022,0.36,45.00,0.25,37.00,39.00
MS,4,2022,0.61,100.00,0.48,94.00,90.00
MT,1,2022,0.35,40.00,0.20,25.00,33.00
MT,2,2022,0.45,80.00,0.46,90.00,95.00
NC,1,2022,0.38,51.00,0.38,71.00,73.00
NC,2,2022,0.34,37.00,0.32,55.00,55.00
NC,3,2022,0.34,35.00,0.20,25.00,30.00
NC,4,2022,0.41,65.00,0.46,89.00,80.00
NC,5,2022,0.25,2.00,0.22,30.00,40.00
NC,6,2022,0.43,71.00,0.40,76.00,69.00
NC,7,2022,0.46,82.00,0.37,67.00,62.00
NC,8,2022,0.54,100.00,0.32,56.00,61.00
NC,9,2022,0.52,100.00,0.31,52.00,59.00
NC,10,2022,0.41,66.00,0.34,60.00,62.00
NC,11,2022,0.31,22.00,0.30,51.00,62.00
NC,12,2022,0.61,100.00,0.37,66.00,72.00
NC,13,2022,0.46,82.00,0.30,49.00,61.00
NC,14,2022,0.37,48.00,0.24,34.00,41.00
NC,1,2024,0.36,44.00,0.26,40.00,45.00
NC,2,2024,0.40,59.00,0.28,44.00,52.00
NC,3,2024,0.31,23.00,0.25,37.00,40.00
NC,4,2024,0.49,96.00,0.26,39.00,52.00
NC,5,2024,0.24,0.00,0.22,30.00,37.00
NC,6,2024,0.41,63.00,0.30,49.00,48.00
NC,7,2024,0.54,100.00,0.29,47.00,54.00
NC,8,2024,0.32,27.00,0.27,44.00,43.00
NC,9,2024,0.44,76.00,0.17,18.00,33.00
NC,10,2024,0.26,3.00,0.27,43.00,38.00
NC,11,2024,0.26,5.00,0.26,41.00,53.00
NC,12,2024,0.57,100.00,0.28,45.00,61.00
NC,13,2024,0.38,52.00,0.14,10.00,19.00
NC,14,2024,0.29,18.00,0.16,15.00,20.00
NC,1,2026,0.42,70.00,0.33,57.00,59.00
NC,2,2026,0.40,59.00,0.28,44.00,52.00
NC,3,2026,0.57,100.00,0.27,42.00,53.00
NC,4,2026,0.49,96.00,0.26,39.00,52.00
NC,5,2026,0.24,0.00,0.22,30.00,37.00
NC,6,2026,0.41,63.00,0.30,49.00,48.00
NC,7,2026,0.54,100.00,0.29,47.00,54.00
NC,8,2026,0.32,27.00,0.27,44.00,43.00
NC,9,2026,0.44,76.00,0.17,18.00,33.00
NC,10,2026,0.26,3.00,0.27,43.00,38.00
NC,11,2026,0.26,5.00,0.26,41.00,53.00
NC,12,2026,0.57,100.00,0.28,45.00,61.00
NC,13,2026,0.38,52.00,0.14,10.00,19.00
NC,14,2026,0.29,18.00,0.16,15.00,20.00
ND,AL,2022,0.43,70.00,0.44,84.00,99.00
NE,1,2022,0.38,51.00,0.25,36.00,41.00
NE,2,2022,0.38,52.00,0.38,69.00,78.00
NE,3,2022,0.29,17.00,0.28,45.00,61.00
NH,1,2022,0.33,34.00,0.16,15.00,21.00
NH,2,2022,0.30,20.00,0.16,16.00,31.00
NJ,1,2022,0.46,83.00,0.38,70.00,67.00
NJ,2,2022,0.33,32.00,0.26,40.00,34.00
NJ,3,2022,0.35,39.00,0.25,36.00,31.00
NJ,4,2022,0.50,100.00,0.28,45.00,53.00
NJ,5,2022,0.24,0.00,0.24,36.00,33.00
NJ,6,2022,0.26,4.00,0.15,12.00,14.00
NJ,7,2022,0.46,83.00,0.20,26.00,36.00
NJ,8,2022,0.26,6.00,0.11,2.00,11.00
NJ,9,2022,0.28,11.00,0.17,16.00,15.00
NJ,10,2022,0.32,26.00,0.11,4.00,13.00
NJ,11,2022,0.52,100.00,0.21,28.00,49.00
NJ,12,2022,0.33,33.00,0.17,18.00,29.00
NM,1,2022,0.43,73.00,0.29,48.00,53.00
NM,2,2022,0.35,42.00,0.29,48.00,50.00
NM,3,2022,0.32,27.00,0.26,41.00,38.00
NV,1,2022,0.56,100.00,0.43,82.00,81.00
NV,2,2022,0.49,98.00,0.56,100.00,100.00
NV,3,2022,0.24,0.00,0.25,38.00,38.00
NV,4,2022,0.41,62.00,0.49,97.00,86.00
NY,1,2022,0.22,0.00,0.33,58.00,64.00
NY,2,2022,0.26,5.00,0.40,75.00,75.00
NY,3,2022,0.41,64.00,0.37,68.00,59.00
NY,4,2022,0.60,100.00,0.59,100.00,100.00
