State,CD #,Year,Reock,Rating,Polsby-Popper,Rating.1,KIWYSI Score,CD 2022 Total Votes,CD 2022 D Votes,CD 2022 R Votes,CD 2024 Total Votes,CD 2024 D Votes,CD 2024 R Votes,Voting Age Total Population (VAP),White VAP,Hispanic VAP,Black VAP,Asian VAP,Native American VAP,Pacific VAP,Total Population,White Population,Hispanic Population,Black Population,Asian Population,Native American Population,Pacific Population,Pres 2020 Total Votes,Pres 2020 D Votes,Pres 2020 R Votes,Pres 2024 Total Votes,Pres 2024 D Votes,Pres 2024 R Votes
CA,23,2022,0.51,100,0.41,77,83,169105,65908,103197,264849,105563,159286,570766,251946,213195,57279,35653,24662,4367,760066,302945,315549,83895,46542,33571,6426,298403,130956,160279,273840,110233,156309
CA,24,2022,0.25,1,0.15,12,16,262552,159019,103533,342479,214724,127755,612075,331525,207468,15700,44985,23309,2923,760066,379230,293830,19257,55909,30445,4071,379237,240252,130039,351723,214429,126327
CA,25,2022,0.42,68,0.16,15,25,152742,87641,65101,245031,137837,107194,572587,162763,345745,32349,23960,24548,2402,760066,186235,492481,44916,32633,36831,3584,265251,150333,109729,250551,125439,119250
CA,26,2022,0.46,83,0.29,49,61,246789,134575,112214,334306,187393,146913,587257,271460,229449,15872,62277,19978,3028,760067,321851,326572,23140,82439,26950,4452,378388,223043,147455,345593,190714,145126
CA,27,2022,0.45,78,0.37,67,72,196516,91892,104624,300090,154040,146050,572464,213192,224434,64775,64664,19605,2818,760067,256708,322512,91837,86252,27078,3947,341359,188047,145845,311267,157116,144967
CA,28,2022,0.36,45,0.13,8,29,226557,150062,76495,314944,204489,110455,619390,179249,152706,29460,256185,13979,2424,760066,206811,201974,37656,313563,17435,3133,370236,244199,118773,330410,204234,115164
CA,29,2022,0.38,50,0.18,19,25,119435,119435,0,209686,146312,63374,593418,139831,362530,31131,58135,22004,1861,760066,162054,488578,41598,71850,29450,2988,274866,204898,63871,234298,154251,72704
CA,30,2022,0.35,39,0.15,12,25,211068,211068,0,311659,213100,98559,649795,371101,142620,31723,97836,13607,2249,760066,422161,178008,37805,115839,16346,2917,379617,274105,98617,338770,233113,94014
CA,31,2022,0.37,46,0.11,2,24,153625,91472,62153,247951,148095,99856,596625,99859,342496,19758,133988,21918,2145,760066,113842,460464,28425,162902,28734,3204,307090,198012,102709,266051,151512,106527
CA,32,2022,0.33,34,0.21,28,44,242029,167411,74618,321645,212934,108711,620064,339654,145586,34997,93339,12622,2415,760067,398035,194247,45266,116353,16399,3189,389556,270583,111909,349352,224333,114805
CA,33,2022,0.23,0,0.18,21,30,132707,76588,56119,233275,137197,96078,553468,111004,324616,66067,49286,21453,3236,760067,132971,470902,92784,66858,31260,5126,273492,168297,98989,243550,128926,107553
CA,34,2022,0.37,48,0.21,26,35,121467,121467,0,189414,189414,0,610534,75535,376198,34589,124324,26973,1978,760067,82569,497280,43195,142435,30645,3067,253311,205047,42312,214522,156727,48089
CA,35,2022,0.3,20,0.24,36,39,130953,75121,55832,233555,136413,97142,575415,97719,352257,44010,79996,22247,3041,760067,112267,490236,59553,103029,30781,4415,273717,172149,95610,243927,130916,105838
CA,36,2022,0.31,25,0.2,26,33,278563,194299,84264,357987,246002,111985,634602,365202,98080,30729,130379,11578,3485,760066,420849,126932,39243,161956,14593,4551,421859,299632,113497,385607,261900,111111
CA,37,2022,0.44,75,0.3,49,55,131880,131880,0,204814,160364,0,592275,86465,298131,156977,50445,22198,1895,760066,99490,409691,193744,60398,27007,2855,279706,239694,34727,235123,184949,42949
CA,38,2022,0.34,34,0.14,9,29,174311,101260,73051,275928,165110,110818,600686,90633,350026,16159,142759,21441,2818,760065,102413,464502,23701,173742,28483,3893,339024,217235,114868,294851,166547,119129
CA,39,2022,0.39,55,0.2,24,34,131597,75896,55701,229660,130191,99469,560688,125403,328249,58471,44296,21705,3777,760067,148112,473337,81777,57985,31786,5587,266773,165325,95617,236170,125904,103010
CA,40,2022,0.42,70,0.15,12,33,284311,122722,161589,383635,171637,211998,602203,310748,137083,15176,130743,13100,3327,760066,368663,191405,21198,171045,17896,4788,424644,211994,204055,391294,184629,193658
CA,41,2022,0.2,0,0.06,0,14,236638,112769,123869,354445,171229,183216,593176,286078,203050,36609,57672,19066,4189,760067,334941,290858,50072,76917,26608,6097,368386,178930,182957,362476,165816,187206
CA,42,2022,0.13,0,0.14,10,1,145120,99217,45903,233563,159153,74410,586430,121254,358174,46534,57515,23249,3908,760066,137105,489779,63166,73060,30754,5482,289450,207588,74946,248048,159936,79485
CA,43,2022,0.31,25,0.2,24,31,123447,95462,27985,213232,160080,53152,569643,45349,307997,155908,60171,19946,4233,760067,52450,433512,201912,75741,27444,5906,270712,218705,46038,223391,162810,53414
CA,44,2022,0.31,26,0.16,16,24,138714,100160,38554,230852,164765,66087,585395,84314,339063,74822,83345,22821,7977,760065,94688,464204,99052,102676,29728,10545,292874,213589,72405,251040,164011,79110
CA,45,2022,0.36,44,0.08,0,8,217426,103466,113960,315875,158264,157611,603905,166075,164636,17509,250168,13419,4801,760067,191564,228657,24479,312303,18230,6505,357128,186195,164110,324170,159788,154805
CA,46,2022,0.49,95,0.16,16,35,126298,78041,48257,211292,134013,77279,579793,99973,354631,15572,105968,25618,3821,760067,112657,495991,23711,130408,32208,5595,253548,162577,85482,218247,125117,86405
CA,47,2022,0.36,44,0.22,31,37,265635,137374,128261,353275,181721,171554,616104,326774,98544,14966,165793,11073,3682,760066,381669,131641,19892,216214,14603,5095,390913,212946,169637,362527,182471,167342
